ucs,dn,temp1,tempmax1,tempmin1,tempavg1,temp2,tempmax2,tempmin2,tempavg2,temp3,tempmax3,tempmin3,tempavg3,temp4,tempmax4,tempmin4,tempavg4,temp5,tempmax5,tempmin5,tempavg5,temp6,tempmax6,tempmin6,tempavg6,temp7,tempmax7,tempmin7,tempavg7,temp8,tempmax8,tempmin8,tempavg8,temp9,tempmax9,tempmin9,tempavg9,temp10,tempmax10,tempmin10,tempavg10,temp11,tempmax11,tempmin11,tempavg11,temp12,tempmax12,tempmin12,tempavg12,temp13,tempmax13,tempmin13,tempavg13,temp14,tempmax14,tempmin14,tempavg14,temp15,tempmax15,tempmin15,tempavg15,temp16,tempmax16,tempmin16,tempavg16,temp17,tempmax17,tempmin17,tempavg17,temp18,tempmax18,tempmin18,tempavg18,temp19,tempmax19,tempmin19,tempavg19,temp20,tempmax20,tempmin20,tempavg20,temp21,tempmax21,tempmin21,tempavg21,temp22,tempmax22,tempmin22,tempavg22,temp23,tempmax23,tempmin23,tempavg23,temp24,tempmax24,tempmin24,tempavg24,temp25,tempmax25,tempmin25,tempavg25,temp26,tempmax26,tempmin26,tempavg26,temp27,tempmax27,tempmin27,tempavg27,temp28,tempmax28,tempmin28,tempavg28,temp29,tempmax29,tempmin29,tempavg29,temp30,tempmax30,tempmin30,tempavg30,temp31,tempmax31,tempmin31,tempavg31,temp32,tempmax32,tempmin32,tempavg32,temp33,tempmax33,tempmin33,tempavg33,temp34,tempmax34,tempmin34,tempavg34,temp35,tempmax35,tempmin35,tempavg35,temp36,tempmax36,tempmin36,tempavg36,temp37,tempmax37,tempmin37,tempavg37,temp38,tempmax38,tempmin38,tempavg38,temp39,tempmax39,tempmin39,tempavg39,temp40,tempmax40,tempmin40,tempavg40,temp41,tempmax41,tempmin41,tempavg41,temp42,tempmax42,tempmin42,tempavg42,temp43,tempmax43,tempmin43,tempavg43,temp44,tempmax44,tempmin44,tempavg44,temp45,tempmax45,tempmin45,tempavg45,temp46,tempmax46,tempmin46,tempavg46,temp47,tempmax47,tempmin47,tempavg47,temp48,tempmax48,tempmin48,tempavg48,temp49,tempmax49,tempmin49,tempavg49,temp50,tempmax50,tempmin50,tempavg50,code
USUH2V2Y03,sys/chassis-1/blade-2/board/memarray-1/mem-22,,,,,23,23,23,23,23,24,23,23.8125,23,23,23,23,24,24,23,23.4,23,26,23,23.6,27,27,25,26.21429,28,28,25,26.66667,28,28,26,26.71429,28,28,26,27,28,28,25,26.8,28,28,27,27.8,27,28,25,26.73333,28,28,26,27.06667,28,28,26,26.92857,28,28,26,27.2,28,28,26,27,28,28,25,26.86666,28,28,25,26.53333,28,28,25,27.3125,27,28,26,26.85714,28,28,25,26.53333,26,28,25,26.625,27,28,26,27,26,28,26,27.125,28,28,26,27.2,27,27,25,25.92308,26,28,25,26.75,27,28,25,26.46667,28,28,25,26.9375,29,29,28,28.46667,28,28,25,26.6875,29,29,28,28.75,28,28,25,26.66667,28,28,25,26.8,28,28,26,27.14286,29,29,27,28.25,28,29,28,28.76471,29,29,28,28.4,28,28,25,27.125,26,28,26,26.875,28,28,25,26.93333,28,28,25,26.26667,28,28,25,26.5625,28,28,26,27.1875,28,28,25,27.1875,28,28,25,26.8,27,28,25,26.94117,27,28,25,27.25,28,28,25,27.4375,F0185
USUH2V2Z01,sys/chassis-1/blade-8/board/memarray-1/mem-3,23,23,22,22.8,23,23,22,22.66667,22,23,22,22.5,23,23,22,22.4,23,23,22,22.75,22,23,22,22.25,22,23,22,22.55556,22,23,22,22.375,22,23,22,22.55556,23,23,22,22.44444,22,23,22,22.55556,22,23,22,22.22222,23,23,22,22.44444,22,23,22,22.44444,23,23,22,22.33333,22,23,22,22.4,23,23,22,22.55556,23,23,22,22.55556,23,23,22,22.5,23,23,22,22.66667,22,23,22,22.33333,22,23,22,22.5,22,23,22,22.44445,23,23,22,22.44444,23,23,22,22.55556,22,23,22,22.5,23,24,22,22.66667,22,23,22,22.44444,23,23,22,22.77778,22,23,22,22.44444,22,23,22,22.5,22,23,22,22.625,22,23,22,22.33333,22,23,22,22.375,23,23,22,22.88889,23,23,22,22.77778,22,23,22,22.625,22,23,22,22.44444,23,23,22,22.88889,23,23,23,23,23,23,22,22.88889,23,23,22,22.77778,23,23,22,22.77778,23,23,22,22.77778,23,23,22,22.75,23,23,22,22.88889,23,23,22,22.88889,23,23,22,22.77778,23,23,22,22.6,23,23,22,22.42857,F0185
USUH2V2Y03,sys/chassis-11/blade-4/board/memarray-1/mem-7,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,F0185
USUH2V2Y03,sys/chassis-11/blade-4/board/memarray-1/mem-8,31,31,29,30.44444,31,31,29,30,31,31,29,29.71428,31,31,29,30.11111,31,31,29,30.22222,30,31,28,29.44444,31,31,28,29.8,29,30,28,29.3,31,31,29,30,31,31,28,29.6,30,30,27,29.1,30,30,27,28.9,30,30,27,28.9,30,30,28,29.3,30,30,28,29.36364,30,31,30,30.6,31,32,30,31.45455,31,32,31,31.88889,29,31,29,30.35,31,31,30,30.4,32,32,30,31.2,31,31,29,30.22222,32,32,29,30.6,31,31,30,30.81818,31,31,30,30.7,31,31,30,30.5,31,31,29,30,30,31,29,30.18182,31,31,30,30.90909,30,31,30,30.27273,31,32,31,31.36364,31,31,30,30.66667,30,30,28,29.2,30,30,27,29,30,30,28,29.18182,30,30,28,29.33333,29,31,29,29.83333,31,33,31,31.36364,31,31,29,30.09091,31,32,31,31.5,31,31,30,30.63636,31,31,30,30.63636,31,31,31,31,31,31,30,30.44444,31,31,31,31,31,31,30,30.63636,31,31,31,31,32,32,31,31.66667,30,30,28,29.38461,32,32,31,31.27273,F0185
USUH2V2Y01,sys/chassis-12/blade-6/board/memarray-1/mem-7,23,24,23,23.5,23,24,23,23.72727,23,24,23,23.63636,23,24,23,23.63636,23,24,23,23.63636,23,24,23,23.63636,23,24,23,23.54545,23,24,23,23.5,23,25,23,23.63636,23,24,23,23.45455,23,24,23,23.41667,23,24,23,23.45455,23,24,23,23.41667,23,24,23,23.45455,23,24,23,23.36364,23,24,23,23.33333,23,24,23,23.25,23,24,23,23.27273,23,24,23,23.27273,23,24,23,23.27273,23,24,23,23.27273,23,24,23,23.2,23,25,23,24.5,25,25,23,23.33333,23,24,23,23.08333,23,24,23,23.08333,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,F0185
USUH2V2Y01,sys/chassis-12/blade-6/board/memarray-1/mem-7,24,24,23,23.30769,23,24,23,23.28571,24,24,23,23.30769,24,25,23,23.61538,24,24,23,23.35714,24,24,23,23.46154,24,24,23,23.42857,24,24,23,23.42857,23,24,23,23.38462,23,24,23,23.38462,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,23,23.66667,24,24,23,23.5,24,24,23,23.5,23,23,23,23,24,24,23,23.5,24,24,23,23.5,23,24,23,23.4,24,24,23,23.5,24,24,23,23.5,24,24,23,23.5,23,23,23,23,24,24,23,23.5,24,24,23,23.5,23,23,23,23,24,24,23,23.5,24,24,23,23.5,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,23,23.5,23,24,23,23.5,23,24,23,23.5,24,24,24,24,23,23,23,23,23,24,23,23.5,F0184
USUH2V2Y01,sys/chassis-12/blade-6/board/memarray-1/mem-8,23,23,22,22.46667,23,23,22,22.33333,23,23,22,22.46667,22,23,22,22.26667,23,23,22,22.53333,23,23,23,23,22,23,22,22.8,22,23,22,22.86666,,,,,23,23,22,22.86667,23,23,22,22.66667,23,23,22,22.53333,23,23,22,22.42857,23,23,22,22.46667,23,23,23,23,22,23,22,22.33333,22,23,22,22.66667,22,22,22,22,22,23,22,22.73333,22,23,22,22.8,22,23,22,22.93333,23,23,23,23,23,23,22,22.73333,23,23,22,22.6,23,23,22,22.6,23,23,22,22.6,23,23,22,22.46667,22,23,22,22.26667,22,23,22,22.33333,22,23,22,22.46667,22,23,22,22.6,22,23,22,22.6,22,22,22,22,23,23,22,22.86666,23,23,22,22.8,23,23,23,23,23,23,22,22.6,23,24,23,23.2,24,24,22,22.93333,23,23,22,22.8,23,23,22,22.46667,22,23,22,22.53333,,,,,22,22,22,22,22,23,22,22.66666,22,23,22,22.8,22,23,22,22.73333,23,23,22,22.8,23,23,22,22.66667,22,23,22,22.6,F0185
USUH2V2Y01,sys/chassis-12/blade-6/board/memarray-1/mem-8,22,23,22,22.66667,22,23,22,22.81818,22,23,22,22.81818,22,23,22,22.81818,22,23,22,22.72727,22,23,22,22.63636,22,23,22,22.63636,22,23,22,22.58333,22,23,22,22.72727,22,23,22,22.54545,22,23,22,22.5,22,23,22,22.54545,22,23,22,22.66667,22,23,22,22.54545,22,23,22,22.54545,22,23,22,22.41667,22,23,22,22.5,22,23,22,22.45455,22,23,22,22.45455,22,23,22,22.36364,22,23,22,22.54545,22,23,22,22.4,23,24,23,23.25,24,24,22,22.41667,22,23,22,22.16667,22,23,22,22.16667,22,23,22,22.08334,22,23,22,22.18182,22,23,22,22.09091,22,23,22,22.16667,22,22,22,22,22,22,22,22,22,23,22,22.09091,22,22,22,22,22,22,22,22,22,22,22,22,22,23,22,22.08334,22,22,22,22,22,22,22,22,22,22,22,22,22,23,22,22.09091,22,23,22,22.09091,22,22,22,22,22,23,22,22.08334,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,F0185
USUH2V3Z02,sys/chassis-13/blade-3/board/memarray-1/mem-17,39,39,39,39,40,40,39,39.33334,39,39,39,39,39,39,39,39,39,39,39,39,39,39,38,38.71428,39,39,39,39,39,39,38,38.5,38,39,38,38.66666,39,39,39,39,39,39,39,39,39,39,38,38.57143,38,39,38,38.28572,38,39,38,38.71428,39,39,39,39,39,39,38,38.28572,38,39,38,38.28572,39,39,39,39,39,39,39,39,39,39,39,39,39,39,38,38.85714,39,39,39,39,39,39,39,39,39,39,39,39,39,39,38,38.83333,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,37,38.28572,39,39,39,39,39,39,39,39,39,39,38,38.71428,40,40,39,39.28572,38,39,38,38.57143,37,38,36,36.57143,36,39,36,37.85714,39,39,39,39,38,39,38,38.85714,39,39,39,39,40,41,40,40.16667,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,39,39.85714,F0185
USUH2V3Y02,sys/chassis-13/blade-4/board/memarray-1/mem-11,26,27,26,26.93333,27,27,26,26.14286,26,26,26,26,26,30,26,27.86667,26,27,26,26.42857,27,27,26,26.73333,26,26,26,26,26,26,26,26,27,30,26,27.8,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,30,30,27,28.13334,26,26,26,26,26,26,26,26,26,26,26,26,26,28,26,27.06667,30,30,26,26.93333,26,26,26,26,26,26,26,26,26,27,26,26.26667,27,27,26,26.86667,28,28,26,26.13333,26,26,26,26,26,26,26,26,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,27,26,26.71428,27,27,26,26.42857,26,26,26,26,26,27,26,26.06667,26,27,26,26.06667,27,27,27,27,26,26,26,26,26,26,26,26,26,30,26,26.6,27,27,27,27,26,26,26,26,26,26,26,26,26,26,25,25.73333,26,30,26,27.66667,26,26,26,26,26,26,26,26,F0185
USUH2V3Y02,sys/chassis-13/blade-4/board/memarray-1/mem-17,30,30,30,30,30,30,30,30,30,30,30,30,32,32,32,32,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32,32,32,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32,32,32,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32,32,32,30,30,30,30,30,30,30,30,30,30,30,30,30,32,30,30.28571,32,32,31,31.93333,30,30,30,30,30,30,30,30,30,30,30,30,30,32,30,30.64286,32,32,30,31.66667,30,31,30,30.06667,30,30,30,30,30,30,30,30,30,32,30,31.07143,32,32,30,31.28572,30,30,30,30,30,30,30,30,30,30,30,30,30,32,30,31.42857,32,32,30,30.85714,30,30,30,30,30,30,30,30,30,30,30,30,30,32,30,31.8,32,32,30,30.53333,30,30,30,30,30,30,30,30,30,30,30,30,32,32,32,32,32,32,30,30.2,30,30,30,30,F0844
USUH2V2Z01,sys/chassis-16/blade-2/board/memarray-1/mem-10,22,22,21,21.55556,21,22,21,21.88889,22,22,22,22,22,22,22,22,22,23,22,22.11111,22,22,22,22,21,22,21,21.88889,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,,,,,,,,,,,,,,,,F0185
USUH2V3Z03,sys/chassis-2/blade-8/board/memarray-1/mem-11,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,F0185
USUH2V2Y03,sys/chassis-6/blade-4/board/memarray-1/mem-20,,,,,31,32,31,31.4,32,32,31,31.34615,31,31,31,31,,,,,25,26,25,25.22222,27,31,27,28.93103,29,31,28,29.23334,28,31,28,29.41379,28,28,28,28,29,31,28,29.43333,28,28,28,28,28,31,28,29.36666,28,28,28,28,28,28,28,28,31,31,31,31,29,29,29,29,28,31,28,29.4,28,28,28,28,28,28,28,28,30,30,30,30,32,32,32,32,31,31,31,31,30,31,28,29.69231,28,28,28,28,28,31,28,29.2,30,30,30,30,28,28,28,28,28,28,28,28,28,31,28,29.1,31,31,31,31,28,28,28,28,29,29,29,29,29,29,29,29,32,32,32,32,28,31,28,29.06667,29,29,29,29,31,31,31,31,31,31,30,30.5,28,29,28,28.5,30,30,29,29.5,30,30,30,30,30,30,30,30,31,31,31,31,30,30,30,30,30,30,30,30,31,31,30,30.5,30,30,30,30,30,30,30,30,31,31,28,30.3,F0185
USUH2V2Z03,sys/chassis-6/blade-6/board/memarray-1/mem-16,25,25,25,25,28,29,28,28.5,28,30,28,29,27,29,27,27.57143,27,28,27,27.25,27,29,26,27.11111,27,28,27,27.44444,27,28,27,27.25,28,28,27,27.25,27,28,27,27.125,28,28,26,27,31,31,30,30.4,29,29,27,28.11111,30,31,30,30.44444,27,27,26,26.75,28,28,27,27.66667,27,27,26,26.88889,26,28,26,27,26,28,26,26.875,27,27,26,26.44444,27,28,27,27.125,26,27,26,26.5,30,30,27,28.22222,27,27,26,26.88889,30,30,30,30,30,31,30,30.11111,30,30,30,30,30,31,30,30.375,30,30,30,30,31,31,31,31,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,30,30.66667,30,30,30,30,30,31,30,30.33333,30,31,30,30.33333,31,31,30,30.36364,30,30,30,30,28,30,27,28.6,29,29,28,28.5,30,30,27,28.72727,30,30,28,28.66666,31,31,28,29.4,30,30,28,29.33333,29,30,28,29,30,30,28,28.7,28,29,27,28,27,28,27,27.2,F0185
USUH2V2Z03,sys/chassis-6/blade-6/board/memarray-1/mem-17,25,25,25,25,27,28,27,27.5,28,29,28,28.375,27,28,27,27.42857,27,28,27,27.125,27,28,26,26.77778,27,27,26,26.88889,26,27,26,26.625,27,27,27,27,27,27,26,26.75,28,28,26,26.88889,30,30,29,29.4,28,28,27,27.55556,29,30,29,29.55556,27,27,26,26.625,27,27,26,26.88889,27,27,26,26.55556,26,27,26,26.75,26,28,26,26.75,27,27,26,26.33333,27,27,26,26.5,26,27,26,26.4,29,29,27,27.77778,27,27,26,26.55556,29,29,29,29,29,30,29,29.22222,29,29,29,29,29,30,29,29.25,29,29,29,29,30,30,30,30,29,29,29,29,29,29,29,29,29,30,29,29.11111,29,29,29,29,29,30,29,29.55556,29,29,29,29,29,30,29,29.44444,30,30,29,29.44444,30,30,29,29.45455,30,30,29,29.11111,28,29,27,28,28,28,27,27.6,29,29,27,28.27273,29,29,27,27.77778,30,30,28,28.7,29,29,28,28.77778,28,29,28,28.33333,29,29,27,27.9,28,28,27,27.3,27,28,27,27.1,F0844
USUH2V3Y02,sys/chassis-13/blade-4/board/memarray-1/mem-17,30,30,30,30,29,30,29,29.36364,29,30,29,29.33333,29,30,29,29.66667,31,31,31,31,30,30,29,29.63637,29,30,29,29.27273,30,30,29,29.27273,29,30,29,29.81818,32,32,31,31.36364,30,30,29,29.54545,29,30,29,29.27273,30,30,29,29.72727,30,30,29,29.63636,31,31,31,31,29,30,29,29.63636,30,30,30,30,30,30,29,29.5,29,31,29,29.54545,31,31,31,31,30,30,30,30,30,30,29,29.75,29,30,29,29.36364,29,31,29,30,31,31,30,30.90909,30,30,30,30,29,30,29,29.66667,30,30,29,29.27273,29,32,29,30.45455,31,32,30,30.90909,30,30,30,30,30,30,29,29.45455,30,30,29,29.16667,30,32,30,31.54545,31,31,29,30.27272,30,30,29,29.9,29,30,29,29.54545,29,30,29,29.91667,32,32,31,31.91667,32,32,29,30.16666,30,30,29,29.63636,29,30,29,29.54545,30,30,29,29.90909,31,32,31,31.25,30,30,29,29.72727,30,30,29,29.81818,30,30,30,30,30,30,29,29.72727,31,32,31,31.08333,30,30,30,30,F0185
USUH2V3Y02,sys/chassis-13/blade-4/board/memarray-1/mem-11,27,27,27,27,27,27,26,26.08333,26,26,26,26,26,27,26,26.09091,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,26,26.27273,26,27,26,26.08333,26,26,26,26,26,27,26,26.27273,27,30,27,27.36364,27,27,26,26.27273,26,26,26,26,26,26,26,26,27,27,27,27,26,30,26,27.54546,26,27,26,26.25,26,26,26,26,27,27,27,27,26,26,26,26,27,30,27,28.6,29,30,29,29.25,30,30,30,30,29,29,26,26.72727,26,27,26,26.09091,27,30,26,28.27273,26,27,26,26.18182,27,27,27,27,27,27,26,26.08333,26,27,26,26.09091,30,30,26,27.75,27,27,27,27,26,27,26,26.09091,26,26,26,26,26,26,26,26,29,29,27,27.45454,26,26,26,26,26,27,26,26.08333,27,27,26,26.08333,26,27,26,26.63636,27,27,26,26.45455,26,26,26,26,26,26,26,26,27,27,25,26,27,27,26,26.75,26,26,26,26,26,26,26,26,F0185
USUH2V3Y02,sys/chassis-13/blade-4/board/memarray-1/mem-17,31,31,29,29.6,30,30,29,29.6,30,30,30,30,30,30,30,30,31,31,29,30.53333,30,30,29,29.73333,30,30,30,30,30,30,30,30,31,31,31,31,30,30,30,30,30,30,30,30,30,30,29,29.8,31,31,31,31,30,30,30,30,30,30,30,30,30,30,30,30,30,32,30,31,31,31,30,30.2,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,30,30,29,29.6,30,30,29,29.8,29,29,29,29,31,31,31,31,29,29,29,29,30,30,29,29.93333,30,30,30,30,31,31,31,31,29,30,29,29.2,30,30,29,29.8,30,30,30,30,29,29,29,29,31,31,31,31,30,30,29,29.86667,30,30,29,29.93333,29,31,29,30,31,31,31,31,29,30,29,29.33333,30,30,30,30,30,30,30,30,31,31,31,31,29,30,29,29.8,30,30,30,30,30,30,30,30,31,32,31,31.26667,30,30,30,30,30,30,29,29.86667,30,30,30,30,F0844
USUH2V3Y02,sys/chassis-13/blade-4/board/memarray-1/mem-17,31,31,29,29.6,30,30,29,29.6,30,30,30,30,30,30,30,30,31,31,29,30.53333,30,30,29,29.73333,30,30,30,30,30,30,30,30,31,31,31,31,30,30,30,30,30,30,30,30,30,30,29,29.8,31,31,31,31,30,30,30,30,30,30,30,30,30,30,30,30,30,32,30,31,31,31,30,30.2,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,30,30,29,29.6,30,30,29,29.8,29,29,29,29,31,31,31,31,29,29,29,29,30,30,29,29.93333,30,30,30,30,31,31,31,31,29,30,29,29.2,30,30,29,29.8,30,30,30,30,29,29,29,29,31,31,31,31,30,30,29,29.86667,30,30,29,29.93333,29,31,29,30,31,31,31,31,29,30,29,29.33333,30,30,30,30,30,30,30,30,31,31,31,31,29,30,29,29.8,30,30,30,30,30,30,30,30,31,32,31,31.26667,30,30,30,30,30,30,29,29.86667,30,30,30,30,F0185
USUH2V3Z03,sys/chassis-2/blade-8/board/memarray-1/mem-11,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,27,27.42857,27,27,27,27,27,27,27,27,27,27,27,27,28,28,27,27.33333,27,27,27,27,27,27,27,27,27,27,27,27,27,28,27,27.4,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,27,27.5,27,27,27,27,27,27,27,27,27,27,27,27,27,28,27,27.42857,27,27,27,27,27,27,26,26.875,27,27,27,27,27,28,27,27.57143,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,27,27.125,27,27,27,27,27,27,27,27,27,27,27,27,28,28,27,27.375,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,27,27,27,27,27,27,27,27,F0185
USUH2V2Y01,sys/chassis-2/blade-6/board/memarray-1/mem-1,23,23,23,23,23,23,23,23,23,23,23,23,25,25,25,25,23,23,23,23,23,23,23,23,23,23,23,23,25,25,25,25,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,25,25,25,25,23,23,23,23,23,23,23,23,24,24,23,23.2,25,25,25,25,24,24,23,23.33333,23,23,23,23,23,23,23,23,23,23,23,23,25,25,25,25,23,23,23,23,23,23,23,23,23,23,23,23,23,25,23,24.5,25,25,23,24.4,23,23,23,23,23,23,23,23,23,23,23,23,25,25,25,25,23,23,23,23,23,23,23,23,23,23,23,23,23,25,23,23.83333,25,25,23,23.93333,23,23,23,23,23,23,23,23,23,23,23,23,25,25,25,25,23,23,23,23,23,23,23,23,23,23,23,23,23,25,23,24.07143,25,25,23,24.46667,23,23,23,23,23,23,23,23,23,23,23,23,25,25,25,25,23,23,23,23,F0185
USUH2V2Y01,sys/chassis-14/blade-7/board/memarray-1/mem-19,23,23,22,22.5,21,21,21,21,21,21,21,21,21,21,21,21,23,23,22,22.5,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,23,23,22,22.5,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,23,21,21.93333,22,23,21,21.86666,21,21,21,21,21,21,21,21,21,21,21,21,23,23,22,22.13333,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,23,23,23,23,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,23,23,23,23,24,24,24,24,21,21,21,21,21,21,21,21,22,23,22,22.07143,21,21,21,21,21,21,21,21,21,21,21,21,22,23,22,22.06667,F0184
USUH2V3Z02,sys/chassis-7/blade-5/board/memarray-1/mem-10,25,25,25,25,22,23,22,22.2,23,23,23,23,23,24,23,23.2,23,23,23,23,23,23,23,23,,,,,24,24,23,23.2,24,24,23,23.6,23,24,23,23.16667,25,25,23,23.8,25,26,25,25.2,25,25,23,23.4,25,25,23,23.4,24,24,23,23.2,24,24,23,23.8,25,25,23,24.2,24,24,23,23.4,24,25,23,23.6,23,25,23,23.4,23,25,23,23.4,23,25,23,23.4,23,25,23,23.4,23,25,23,23.8,23,24,23,23.2,25,25,23,23.5,23,24,23,23.6,23,24,23,23.5,23,24,23,23.2,23,24,23,23.5,23,26,23,24.8,23,26,23,24.16667,24,25,23,24.2,23,26,23,24.33333,25,25,25,25,25,26,25,25.2,25,26,25,25.2,25,27,25,25.6,25,25,24,24.8,25,26,25,25.2,26,26,25,25.4,25,26,25,25.4,29,29,25,27.4,25,26,25,25.2,26,26,25,25.2,24,26,24,24.83333,25,25,24,24.6,28,29,27,28,27,28,27,27.4,27,28,27,27.4,F0185
USUH2V2Y01,sys/chassis-14/blade-7/board/memarray-1/mem-19,21,21,21,21,21,21,21,21,24,24,21,23.27272,21,22,21,21.33333,22,22,21,21.90909,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,21,21,21,21,21,23,21,21.41667,21,21,21,21,22,23,21,21.63636,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,21,21.16667,21,21,21,21,21,21,21,21,21,22,21,21.09091,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,21,21.27273,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,22,21,21.72727,22,22,21,21.63636,21,21,21,21,21,21,21,21,,,,,22,22,22,22,,,,,21,21,21,21,21,21,21,21,21,22,21,21.45455,,,,,,,,,21,21,21,21,21,21,21,21,,,,,F0184
